키워드,검색수PC,검색수M,클릭수PC,클릭수M,클릭률PC,클릭률M,광고수,경쟁정도
나이키에어포스미드나잇네이비,10,160,0.5,2.6,3.85,1.58,4,중간
나이키엘리멘탈프리미엄,50,260,0.0,0.3,0.0,0.12,3,높음
나이키여자츄리닝,20,390,0.3,10.0,1.15,2.66,7,높음
나이키온덱,< 10,10,0.0,0.0,0.0,0.0,7,높음
나이키우먼팬츠,< 10,100,0.0,0.0,0.0,0.0,3,높음
나이키조던1,90,590,1.6,9.5,1.73,1.65,7,높음
나이키조던그레이,10,190,0.3,0.5,1.93,0.26,4,중간
나이키조던로우,300,2730,5.3,63.8,1.7,2.48,7,높음
나이키스윔팬츠,110,580,1.0,13.5,0.97,2.4,7,높음
나이키스포츠선글라스,40,200,1.0,6.3,2.44,3.28,7,높음
나이키스포츠웨어클럽,140,800,1.0,12.8,0.63,1.34,7,높음
나이키슬림웨이스트백,60,200,2.0,8.0,2.71,3.62,7,높음
나이키양면후리스,30,540,0.2,5.7,0.71,0.98,4,중간
나이키반팔드라이핏,10,140,0.3,1.6,1.64,1.11,7,높음
나이키베이퍼플라이,460,2550,3.4,31.3,0.72,1.24,7,높음
나이키벨루어크롭,< 10,30,0.0,0.0,0.0,0.0,3,높음
나이키선바이저,< 10,50,0.0,0.3,0.0,0.57,3,높음
나이키런닝화블랙,10,150,0.0,0.3,0.0,0.21,3,높음
나이키레볼루션7,1440,7200,20.9,87.7,1.41,1.21,7,높음
나이키레볼루션7블랙,< 10,30,0.0,0.3,0.0,1.03,3,높음
나이키맨투맨기모,130,1400,2.6,40.1,1.83,2.9,7,높음
나이키맨투맨티,20,180,0.4,5.0,1.54,2.56,7,높음
나이키메트콘9여성,40,340,1.6,9.2,3.8,2.88,5,중간
나이키면반팔,< 10,10,0.0,0.0,0.0,0.0,3,높음
나이키바람막이남성,< 10,20,0.1,0.3,3.58,1.17,7,높음
나이키바람막이스우시,< 10,20,0.0,0.0,0.0,0.0,0,낮음
나이키기모바지,1230,11400,23.6,238.2,1.89,2.14,7,높음
나이키기모후드,190,2010,5.1,53.0,2.64,2.74,7,높음
나이키기모후드티,240,2090,3.4,48.5,1.42,2.34,7,높음
나이키남자츄리닝,20,150,0.6,3.3,2.39,2.2,7,높음
나이키드라이핏집업,20,240,0.0,0.0,0.0,0.0,3,높음
나이키드라이핏후드집업,< 10,40,0.0,0.0,0.0,0.0,3,높음
나이키빈티지,70,560,2.9,12.5,3.76,2.28,7,높음
신발응모,10,70,0.6,5.4,3.58,6.67,5,중간
나이키ACG,3070,16700,37.7,279.0,1.27,1.7,7,높음
나이키에어포스107,1920,10900,41.3,187.2,2.16,1.74,10,중간
덩크로우,670,4230,10.0,114.8,1.52,2.73,10,중간
나이키집업,430,3480,5.9,57.3,1.39,1.69,7,높음
나이키바지,1610,14900,27.4,171.6,1.7,1.19,7,높음
나이키메트콘,1330,6290,21.5,110.4,1.68,1.72,10,중간
NIKEAIR,10,110,0.6,2.5,5.2,2.02,7,높음
나이키플랫폼,20,340,0.0,5.0,0.0,1.55,7,높음
나이키할인쿠폰,50,240,2.2,13.3,4.27,6.45,5,중간
나이키TC7900,590,5430,12.8,123.2,2.0,2.19,10,중간
나이키페가수스,2150,11000,8.3,194.0,0.38,1.76,15,높음
나이키에어포스화이트,110,610,2.0,37.5,1.79,6.47,7,높음
나이키보메로,1790,12100,14.6,163.2,0.8,1.37,15,높음
나이키오리지널,< 10,70,0.7,1.5,10.21,2.35,7,높음
나이키정품사이트,30,240,1.5,17.3,4.55,7.99,14,높음
필드제네럴,10,20,0.0,0.0,0.0,0.0,3,높음
나이키상설,30,110,1.5,4.0,5.18,3.65,4,중간
나이키플레이어,< 10,10,0.5,1.2,5.09,6.9,7,높음
가산현대아울렛나이키,120,740,0.0,0.0,0.0,0.0,0,낮음
건대나이키,40,320,0.0,0.0,0.0,0.0,1,중간
광교롯데아울렛나이키,< 10,90,0.0,0.0,0.0,0.0,1,중간
기흥나이키팩토리,< 10,20,0.0,0.0,0.0,0.0,0,낮음
기흥롯데나이키,< 10,90,0.0,0.0,0.0,0.0,0,낮음
기흥롯데프리미엄아울렛나이키,10,40,0.0,0.0,0.0,0.0,1,중간
기흥아울렛나이키,120,1440,1.5,1.1,1.21,0.09,1,중간
기흥프리미엄아울렛나이키,30,160,0.0,0.0,0.0,0.0,0,낮음
김포아울렛나이키,70,500,1.0,1.0,1.3,0.21,1,중간
김해나이키매장,< 10,30,0.0,0.3,0.0,0.91,3,높음
나이키성수,10,60,0.0,0.0,0.0,0.0,0,낮음
나이키여성부츠,60,780,0.2,5.1,0.41,0.7,4,중간
나이키최신운동화,< 10,10,0.0,0.0,0.0,0.0,3,높음
나이키키즈방한화,170,1880,0.3,6.3,0.16,0.32,3,중간
나이키키즈세트,10,190,0.0,0.0,0.0,0.0,3,높음
나이키팩토리스토어가산,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
나이키화이트스니커즈,< 10,20,0.0,0.0,0.0,0.0,0,낮음
나이키흰검운동화,< 10,40,0.0,0.0,0.0,0.0,3,높음
대구나이키할인매장,< 10,20,0.3,0.0,6.67,0.0,3,높음
대전나이키아울렛,10,110,0.0,0.3,0.0,0.26,3,높음
롯데기흥아울렛나이키,10,250,0.0,0.0,0.0,0.0,2,중간
롯데아울렛기흥나이키,30,320,0.5,1.0,2.0,0.33,2,중간
롯데파주아울렛나이키,10,150,0.0,0.7,0.0,0.58,3,높음
롯데프리미엄아울렛파주나이키,20,110,0.0,0.0,0.0,0.0,0,낮음
마산나이키매장,< 10,20,0.0,0.0,0.0,0.0,3,높음
명동나이키매장,10,80,0.0,0.0,0.0,0.0,0,낮음
부천나이키매장,10,70,0.0,1.7,0.0,2.29,3,중간
부평나이키매장,< 10,40,0.0,0.0,0.0,0.0,3,높음
서울나이키아울렛,20,160,0.0,0.3,0.0,0.2,3,중간
송도나이키팩토리,< 10,20,0.0,0.0,0.0,0.0,0,낮음
송도프리미엄아울렛나이키,10,120,0.0,0.0,0.0,0.0,2,낮음
송도현대아울렛나이키,90,830,0.0,0.4,0.0,0.05,2,중간
송우리나이키,< 10,80,0.5,0.5,6.25,0.61,2,낮음
수완롯데아울렛나이키,10,130,0.5,1.5,4.17,1.2,2,낮음
스타필드고양나이키,20,300,0.0,0.0,0.0,0.0,0,낮음
양산나이키,10,300,0.0,0.0,0.0,0.0,3,높음
여주나이키,40,340,0.0,0.7,0.0,0.21,3,높음
온라인나이키,< 10,20,0.0,0.3,0.0,1.45,3,높음
용인나이키,20,150,0.0,0.0,0.0,0.0,0,낮음
용인나이키매장,< 10,30,0.0,0.7,0.0,2.39,3,높음
이천아울렛나이키,140,1350,0.0,2.3,0.0,0.19,2,중간
이천프리미엄아울렛나이키,30,270,0.0,0.4,0.0,0.16,2,중간
이태원나이키매장,< 10,10,0.0,0.0,0.0,0.0,0,낮음
익산나이키,50,400,0.0,0.0,0.0,0.0,0,낮음
장유롯데아울렛나이키,20,280,0.0,0.0,0.0,0.0,0,낮음
장유아울렛나이키,110,930,1.5,1.5,1.58,0.17,3,높음
전주나이키매장,20,290,0.0,1.0,0.0,0.41,2,중간
창원나이키매장,< 10,60,0.0,0.0,0.0,0.0,3,높음
파주나이키,40,330,0.0,0.0,0.0,0.0,0,낮음
파주신세계프리미엄아울렛나이키,< 10,30,0.0,0.0,0.0,0.0,2,중간
파주아울렛나이키,140,1380,0.7,0.0,0.52,0.0,3,높음
파주프리미엄아울렛나이키,60,480,0.0,0.5,0.0,0.12,2,중간
포천나이키,40,300,0.0,0.0,0.0,0.0,0,낮음
홍대나이키매장,10,70,0.0,0.0,0.0,0.0,1,중간
나이키여성양말,40,410,2.0,18.8,4.26,4.11,7,높음
나이키ACG반팔,20,210,0.1,5.8,0.63,3.11,7,높음
나이키패딩,13800,125600,113.3,2044.2,0.82,1.62,15,높음
나이키집업후드,110,940,0.6,23.0,0.57,2.52,15,높음
나이키츄리닝,770,5070,17.7,75.6,2.33,1.56,7,높음
나이키플라이,60,400,0.0,2.9,0.0,0.69,6,중간
나이키캔버스화,10,120,0.6,2.5,4.09,2.24,7,높음
여자나이키츄리닝,< 10,90,0.1,1.9,3.58,2.19,7,높음
나이키NBA,40,250,0.9,9.0,2.6,3.92,7,높음
ISPA,30,160,0.3,0.3,0.93,0.21,3,중간
나이키운동화여자,< 10,110,0.3,4.0,3.58,3.93,7,높음
나이키아웃도어,40,270,0.7,9.3,1.98,3.38,7,높음
청주스웻,10,60,0.0,0.0,0.0,0.0,3,높음
스웻스토어,< 10,< 10,0.0,0.0,0.0,0.0,6,중간
나이키테크,100,540,0.9,8.3,0.9,1.57,7,높음
나이키남성슬립온,< 10,10,0.0,0.3,0.0,4.17,3,높음
나이키랩,60,250,0.9,5.3,1.21,2.11,7,높음
NIKEGOLF,< 10,50,0.1,3.8,1.3,7.36,7,높음
나이키영국직구,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
나이키신상품,10,30,0.3,1.8,1.79,5.52,7,높음
나이키미국공홈직구,20,20,0.0,0.0,0.0,0.0,3,중간
나이키오세아니아,< 10,30,0.3,0.0,3.58,0.0,4,중간
나이키스튜디오랩,< 10,20,0.3,0.3,11.12,2.09,3,중간
나이키드라이핏빅토리,10,50,0.0,0.0,0.0,0.0,3,높음
나이키남성여름운동화,< 10,< 10,0.3,0.0,16.67,0.0,3,높음
AC밀란바람막이,20,140,0.0,0.3,0.0,0.24,3,중간
아스날바람막이,100,540,0.3,0.0,0.3,0.0,3,높음
첼시바람막이,100,560,0.0,0.0,0.0,0.0,3,높음
축구클럽바람막이,< 10,10,0.0,0.0,0.0,0.0,3,높음
NIKELAB,< 10,20,0.3,0.6,3.64,2.03,7,높음
나이키SB신발,20,370,0.3,3.0,1.37,0.95,7,높음
나이키SB버테브레,50,140,0.9,0.5,1.7,0.31,1,중간
나이키편집샵,20,100,0.9,12.3,3.17,11.04,5,중간
나이키드라이핏엘리먼트,60,380,1.3,5.0,1.82,1.3,6,중간
나이키헤리티지모자,70,750,1.7,25.3,2.45,3.4,7,높음
나이키여성여름운동화,< 10,10,0.1,0.0,14.29,0.0,7,높음
나이키테크헤라화이트,< 10,10,0.0,0.3,0.0,1.79,3,높음
나이키흰빨,< 10,50,0.0,0.0,0.0,0.0,7,높음
NIKE신발,10,130,0.4,9.8,3.07,7.5,7,높음
NIKE매장,< 10,50,0.0,0.0,0.0,0.0,3,높음
나이키운동화쇼핑몰,< 10,10,0.0,2.0,0.0,11.77,0,낮음
여성나이키신발,< 10,70,0.0,4.3,0.0,5.83,7,높음
JCREW직구,< 10,< 10,0.3,0.0,4.77,0.0,3,높음
디즈니드레스,90,960,1.6,18.8,1.59,2.14,7,높음
올드네이비키즈,< 10,70,0.0,2.0,0.0,2.67,7,높음
오시코시,90,540,0.6,8.3,0.58,1.44,7,높음
언더아머반팔티,100,550,1.4,12.8,1.38,2.42,7,높음
디즈니구매대행,< 10,30,0.0,1.2,0.0,4.55,6,중간
자라베이비,1210,18000,6.3,203.3,0.52,1.16,7,높음
미네통카모카신,140,1610,2.1,47.3,1.44,2.28,7,높음
아디다스베이비,150,1450,5.4,84.3,3.47,5.93,10,중간
아르마니익스체인지,330,2320,1.9,28.3,0.57,1.3,7,높음
나이키직수입,10,40,1.1,2.0,14.29,4.77,7,높음
STEVEMADDEN,70,700,0.3,15.8,0.37,2.31,7,높음
NIKE운동화,20,80,0.9,4.5,3.9,6.34,7,높음
나이키AS,330,2250,7.0,114.3,2.2,5.08,7,높음
에어맥스던,130,980,1.4,9.0,1.02,0.96,7,높음
나이키벨벳,40,690,0.3,10.0,0.75,1.55,6,중간
풋셀스토어,90,180,4.5,11.8,4.61,6.88,4,중간
나이키이월,10,40,0.4,4.3,3.45,8.34,5,중간
나이키신발이월상품,< 10,10,0.5,1.3,25.0,22.23,4,중간
나이키남자스니커즈,10,40,0.0,1.4,0.0,3.71,7,높음
나이키콜라보,230,1230,4.6,19.8,1.93,1.71,7,높음
나이키에어포스블랙,780,6250,13.6,213.6,1.75,3.64,15,높음
315122-111,30,70,0.3,0.3,0.82,0.55,7,높음
나이키에어포스로우,90,730,2.1,17.3,2.33,2.47,7,높음
ABC마트나이키,60,370,1.1,7.5,1.85,2.3,5,중간
나이키230,20,220,0.3,4.8,1.59,2.06,7,높음
나이키할인점,< 10,20,0.0,0.0,0.0,0.0,3,높음
나이키모자,2690,22500,25.4,625.2,0.98,2.92,10,중간
나이키트레일,210,1270,3.7,42.0,1.7,3.26,7,높음
수입나이키,< 10,30,1.1,2.4,16.33,6.98,7,높음
순천나이키,60,700,0.0,0.0,0.0,0.0,3,높음
나이키레더,40,280,0.4,5.0,0.96,1.89,7,높음
나이키카브엠트,30,160,0.0,0.0,0.0,0.0,3,높음
나이키운동화할인,20,60,0.9,5.3,4.09,8.34,7,높음
나이키쿠폰,120,590,3.3,25.8,2.61,4.6,7,높음
나이키조던,1500,10300,20.9,126.8,1.41,1.3,10,중간
나이키운동화230,20,140,0.0,0.7,0.0,0.52,3,높음
ASOS직구,50,520,1.1,25.5,1.94,4.83,7,높음
H&M세일,610,3760,7.0,29.3,1.2,0.81,7,높음
나이키남자신발추천,10,40,0.4,1.4,6.07,3.15,5,중간
나이키225,< 10,130,0.1,2.2,2.05,1.72,7,높음
나이키해외직구,110,590,4.8,51.0,4.11,8.69,15,높음
에어맥스95,750,4610,16.9,130.1,2.44,3.09,7,높음
나이키푸츄라,100,840,0.7,10.7,0.71,1.22,7,높음
나이키키높이여성운동화,10,40,0.2,1.7,1.22,4.11,6,중간
에어맥스플러스,200,1260,1.7,25.7,0.9,1.99,7,높음
카터스직구,20,130,0.3,5.8,1.1,4.36,7,높음
나이키정품운동화,< 10,40,0.0,4.2,0.0,10.0,7,높음
나이키탱크탑,30,290,0.3,3.0,0.78,1.05,7,높음
나이키우븐팬츠,350,2450,3.9,38.3,1.05,1.56,7,높음
칠드런플레이스,< 10,30,0.0,1.0,0.0,2.61,6,중간
아동복직구,< 10,60,0.4,9.3,3.55,13.03,13,중간
H&M직구,40,150,1.4,8.5,3.26,5.87,7,높음
나이키에어포스220,10,120,1.0,6.5,5.89,5.33,7,높음
대구나이키팩토리,10,160,0.0,0.0,0.0,0.0,3,높음
나이키피닉스,110,1110,0.4,14.3,0.38,1.3,7,높음
나이키코트레거시,210,2030,2.9,36.0,1.3,1.77,7,높음
뉴발란스티셔츠,180,1500,1.0,17.0,0.56,1.19,7,높음
뉴발란스직구사이트,10,10,0.5,0.0,4.17,0.0,4,중간
해외뉴발란스,< 10,10,0.0,0.3,0.0,3.34,3,높음
뉴발란스레깅스,60,380,0.4,13.1,0.69,3.41,7,높음
나이키가족운동화,< 10,10,0.0,0.3,0.0,1.67,3,높음
자라남방,10,180,0.0,0.7,0.0,0.38,3,높음
자라사이트,30,250,0.0,4.0,0.0,1.74,3,높음
자라키즈자켓,< 10,130,0.3,0.7,6.67,0.57,3,높음
자라주니어,30,280,0.6,13.0,2.13,4.65,7,높음
나이키코트로얄,160,1320,1.1,21.0,0.64,1.51,7,높음
자라3월세일,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
부천자라매장,70,1130,1.0,2.0,1.97,0.54,1,중간
대구자라매장,160,2620,0.0,2.1,0.0,0.09,2,중간
광주자라매장,80,1470,0.0,0.0,0.0,0.0,1,중간
2024자라세일,730,3450,0.0,3.6,0.0,0.26,1,중간
ZARA매장,430,4070,2.3,36.8,0.58,0.97,5,중간
자라홈세일,560,3480,5.3,31.3,1.01,0.96,7,높음
자라세일기간,3960,24400,20.5,38.0,0.69,0.52,2,중간
카터스,250,1870,0.4,24.7,0.17,1.37,7,높음
나이키ISPA,50,320,1.3,3.1,2.22,1.15,7,높음
ZARA온라인,20,100,0.0,0.0,0.0,0.0,0,낮음
아마존구매,120,210,0.6,0.6,0.47,0.28,3,중간
미국아마존구매대행,60,130,4.9,10.8,7.36,8.09,7,높음
미국아마존직구,130,480,3.3,10.5,2.35,2.15,7,높음
아마존영국,210,310,0.7,0.0,0.34,0.0,3,높음
아마존해외직구,40,70,0.1,1.5,0.35,1.75,7,높음
버버리키즈패딩,570,10100,5.7,216.2,0.99,2.12,15,높음
나이키생일쿠폰,340,1650,8.0,47.7,2.41,2.95,2,낮음
나이키프로드라이핏,130,750,2.1,17.0,1.5,2.32,7,높음
퓨추라,50,220,0.3,0.0,0.69,0.0,3,높음
나이키드라이핏ADV,50,270,0.0,0.7,0.0,0.25,3,높음
뉴발란스구매대행,10,30,0.4,4.5,3.58,12.5,7,높음
나이키키높이운동화,340,3140,5.0,115.7,1.49,3.84,7,높음
나이키킬샷2,920,6670,11.1,79.6,1.2,1.17,7,높음
나이키장갑,2710,17300,37.0,621.7,1.41,3.79,7,높음
나이키클래식,20,140,0.3,3.0,0.93,2.3,7,높음
에이치앤엠키즈,< 10,30,0.4,0.0,20.0,0.0,3,높음
여성운동화나이키,< 10,40,0.1,0.0,1.59,0.0,7,높음
나이키그레이,30,220,0.0,0.3,0.0,0.16,3,높음
나이키발볼넓은운동화,10,90,0.3,2.1,1.51,2.01,7,높음
자라해외직구,80,630,3.0,15.5,3.38,2.53,7,높음
나이키여성화,20,240,1.0,10.3,4.0,4.48,7,높음
이태원나이키,220,1360,4.5,4.5,2.12,0.37,2,낮음
나이키신발직구,10,20,0.6,1.8,4.77,7.7,7,높음
ZARA세일,970,5420,4.0,62.0,0.45,1.29,7,높음
나이키엠부쉬,70,680,0.9,8.0,1.16,1.21,7,높음
FQ8762-101,< 10,< 10,0.0,0.0,0.0,0.0,3,높음
나이키필드제네럴,< 10,10,0.0,0.0,0.0,0.0,2,중간
나이키여성겨울운동화,60,510,1.7,13.9,3.07,2.86,7,높음
나이키운동화아울렛,< 10,70,0.5,3.6,10.72,5.52,6,중간
카터스우주복,20,390,0.0,0.0,0.0,0.0,3,높음
CARTERS,30,480,0.0,5.1,0.0,1.14,4,중간
CATERS,30,120,0.4,2.1,1.21,1.75,2,낮음
카터스사이즈,10,80,0.0,0.0,0.0,0.0,3,높음
카터스바디수트,30,710,0.1,14.0,0.53,1.97,7,높음
H&M속옷,10,310,0.5,16.0,2.26,5.56,7,높음
H&M슬리퍼,< 10,60,0.0,0.0,0.0,0.0,5,중간
H&M점프수트,10,140,0.6,0.3,3.58,0.24,3,중간
H&M할인,50,380,0.0,1.0,0.0,0.28,3,높음
나이키이니시에이터,1500,11200,16.2,207.2,1.04,1.8,10,중간
나이키운동화할인매장,< 10,30,0.3,1.9,4.09,7.32,7,높음
나이키할인매장,140,1100,5.6,27.0,4.26,2.69,7,높음
여자나이키스니커즈,10,180,0.4,3.8,3.07,2.44,7,높음
나이키210,10,120,0.0,1.1,0.0,1.02,6,중간
루디스핀호크,90,380,0.6,8.5,0.65,2.35,7,높음
루디선글라스,890,5660,14.5,128.2,1.68,2.36,10,중간
바이크선글라스,20,100,0.4,1.8,2.26,1.69,7,높음
칠드런스플레이스,10,80,0.0,0.3,0.0,0.44,3,높음
파타고니아등산복,50,260,0.0,0.3,0.0,0.14,3,높음
파타고니아후드집업,60,440,0.4,4.5,0.69,1.06,7,높음
파타고니아후드티,260,1940,2.1,33.8,0.81,1.81,7,높음
파타고니아후디니,320,1060,1.6,7.3,0.5,0.72,7,높음
나이키상설매장,90,950,3.9,20.5,3.68,2.33,7,높음
키즈나이키신발,< 10,90,0.0,1.3,0.0,1.34,7,높음
나이키키즈220,< 10,50,0.3,0.0,4.09,0.0,7,높음
나이키줌보메로5,2770,25900,28.0,374.2,0.99,1.43,10,중간
아기옷구매대행,10,10,0.0,2.0,0.0,14.29,3,높음
GAP키즈,140,1830,1.4,56.0,1.02,3.12,7,높음
올드네이비직구,10,30,0.2,2.6,1.39,9.58,7,높음
갸쿠소우,40,190,0.6,6.5,1.28,3.26,7,높음
언더아머직구,20,60,1.1,4.3,3.95,5.91,7,높음
나이키선물,20,120,0.0,2.6,0.0,2.44,4,중간
나이키SB후드티,70,790,1.1,12.0,1.53,1.53,7,높음
나이키폴로셔츠,< 10,20,0.3,0.6,11.12,3.51,3,높음
GAP직구,20,80,0.3,4.0,0.9,4.31,7,높음
나이키필드제너럴82,160,880,3.3,11.3,2.2,1.3,7,높음
나이키운동화이월상품,10,50,0.4,7.3,4.77,15.43,7,높음
나이키레트로,30,300,0.1,4.3,0.37,1.52,7,높음
나이키바르셀로나,50,300,1.0,8.3,1.97,2.83,7,높음
나이키정품신발,< 10,20,0.5,2.2,23.08,12.31,7,높음
나이키코르테즈,3750,36000,40.7,461.0,1.12,1.3,10,중간
나이키검흰,40,230,0.0,1.3,0.0,0.62,3,높음
나이키발목운동화,30,490,0.2,3.7,0.64,0.75,5,중간
필드제너럴82,40,220,0.8,3.4,2.33,1.52,5,중간
나이키스니커즈추천,10,30,0.3,0.3,2.86,0.83,7,높음
드라이핏,280,1290,1.0,7.0,0.36,0.58,7,높음
자라바디수트,70,1320,0.0,0.7,0.0,0.06,3,높음
해외자라,10,60,0.0,0.0,0.0,0.0,3,중간
자라파는곳,< 10,30,0.0,2.6,0.0,7.38,7,높음
자라추천,270,1350,0.0,0.0,0.0,0.0,2,중간
자라가격,10,220,0.0,1.3,0.0,0.66,7,높음
자라걸즈,< 10,20,0.0,0.0,0.0,0.0,3,높음
자라브랜드,90,710,0.0,0.0,0.0,0.0,1,중간
자라아기옷,70,590,0.6,0.3,0.89,0.06,3,중간
자라온라인,1950,9000,1.8,15.5,0.11,0.19,7,높음
나이키트레이닝복세트,1230,7400,20.0,62.1,1.62,0.86,10,중간
나이키여성운동화,880,9660,21.3,202.3,2.41,2.16,7,높음
아울렛나이키,90,610,1.2,12.8,1.53,2.22,7,높음
나이키신발가격,< 10,70,0.0,4.5,0.0,7.38,7,높음
나이키신발매장,10,180,1.1,3.1,8.11,1.95,5,중간
나이키NRG,150,720,2.6,16.7,1.66,2.48,7,높음
나이키흰검,20,270,0.1,2.4,0.63,1.0,7,높음
나이키정기세일,10,40,0.0,2.9,0.0,8.34,7,높음
나이키운동화세일,30,120,1.1,13.8,3.95,10.92,7,높음
나이키편한신발,80,390,1.3,14.3,1.7,3.58,7,높음
나이키흰운동화,< 10,110,0.3,1.5,3.58,1.29,7,높음
나이키300MM,< 10,40,0.1,3.1,2.05,5.79,7,높음
나이키운동화한정판,< 10,90,0.1,1.8,2.39,2.44,7,높음
나이키실버,90,870,0.3,29.0,0.35,3.45,7,높음
나이키주니어신발,30,270,0.3,8.5,0.93,3.2,7,높음
제이크루직구,10,70,0.0,1.0,0.0,1.2,3,중간
나이키220,20,240,0.3,9.8,1.25,4.05,7,높음
나이키여자런닝화,50,360,1.3,21.3,2.39,6.18,7,높음
나이키운동화순위,10,50,0.0,0.5,0.0,1.1,7,높음
나이키여성운동화추천,30,170,0.1,4.0,0.4,2.49,7,높음
나이키종류,10,120,0.1,1.0,0.72,0.8,7,높음
CW2288-001,370,1240,5.1,28.8,1.6,2.59,7,높음
나이키여성방한화,80,590,0.0,0.7,0.0,0.12,3,높음
나이키GS,70,390,0.3,0.9,0.42,0.24,3,중간
나이키키높이,130,1000,1.4,25.5,1.06,2.68,7,높음
파타고니아해외직구,20,60,1.4,3.5,6.5,5.47,7,높음
스니커굿샵,140,270,8.3,33.5,6.04,11.93,7,높음
나이키에어시리즈,< 10,30,0.0,0.3,0.0,1.2,3,중간
나이키에어화이트,< 10,20,0.0,0.0,0.0,0.0,3,높음
나이키편한운동화,80,450,1.3,11.0,1.63,2.55,7,높음
ZARA,18000,65100,16.6,269.7,0.1,0.45,7,높음
자라아동복,30,380,0.3,13.5,0.93,3.77,7,높음
나이키쉐도우,40,250,0.4,5.3,1.1,2.08,7,높음
파타고니아구매대행,20,50,1.1,5.0,3.69,8.2,7,높음
나이키여성스니커즈,20,230,0.0,5.8,0.0,2.35,7,높음
남자나이키스니커즈,< 10,40,0.4,0.5,3.9,1.3,7,높음
나이키캔버스,10,150,0.0,0.7,0.0,0.46,3,높음
어린이나이키운동화,10,190,0.3,3.8,1.51,2.09,7,높음
여자나이키런닝화,< 10,60,0.1,5.5,2.39,7.64,7,높음
베이비갭,80,1040,0.9,30.8,1.09,3.1,7,높음
나이키기능성,30,230,0.0,2.8,0.0,1.19,7,높음
나이키커플운동화,250,1520,2.6,19.7,1.02,1.42,7,높음
나이키솔로스우시,310,1850,2.6,23.5,0.87,1.23,7,높음
나이키한정판운동화,70,490,1.0,12.0,1.5,2.56,7,높음
나이키미드나잇네이비,10,220,0.0,1.3,0.0,0.6,3,높음
나이키행사,80,400,2.0,18.5,2.28,4.08,7,높음
갭키즈직구,< 10,40,0.1,2.0,3.58,4.88,7,높음
나이키우먼운동화,20,280,0.7,7.3,2.75,2.53,7,높음
나이키그레이포그,20,240,0.0,0.0,0.0,0.0,3,높음
갭베이비직구,< 10,30,0.6,2.0,8.17,5.27,7,높음
나이키갸쿠소우,30,250,0.4,5.3,1.49,2.05,7,높음
나이키우먼스운동화,10,230,0.1,7.8,1.2,3.36,7,높음
갭구매대행,< 10,30,0.1,7.5,2.28,18.3,15,높음
ASOS,1040,2860,0.6,14.6,0.07,0.52,5,중간
나이키여성등산화,< 10,40,0.0,0.0,0.0,0.0,3,높음
에어포스1,1950,15200,38.4,259.6,1.98,1.85,10,중간
나이키키높이신발,10,90,0.1,0.9,1.43,1.18,7,높음
나이키패션운동화,< 10,50,0.0,0.0,0.0,0.0,3,높음
나이키패션화,< 10,20,0.3,0.0,8.34,0.0,3,높음
나이키프리미엄운동화,< 10,20,0.0,0.0,0.0,0.0,0,낮음
나이키하얀색운동화,10,10,0.0,0.0,0.0,0.0,3,높음
나이키헬스신발,10,60,0.0,0.0,0.0,0.0,2,중간
나이키형광운동화,< 10,20,0.0,0.0,0.0,0.0,4,중간
나이키회색신발,10,90,0.4,1.4,3.3,1.43,7,높음
나이키회색운동화,20,290,0.3,4.0,1.37,1.43,7,높음
나이키회원가입쿠폰,< 10,30,0.0,1.5,0.0,5.56,2,낮음
남성나이키스니커즈,10,20,0.0,0.0,0.0,0.0,3,높음
남성나이키신발,10,70,0.4,2.5,2.68,3.85,7,높음
남성운동화나이키,< 10,20,0.0,0.0,0.0,0.0,3,높음
런닝화나이키,20,160,0.3,1.3,1.25,0.72,7,높음
롯데프리미엄아울렛나이키,20,170,0.0,0.0,0.0,0.0,3,높음
문정동나이키,30,160,0.0,0.5,0.0,0.34,2,중간
세종시나이키매장,< 10,20,0.0,0.0,0.0,0.0,3,높음
신세계강남나이키,20,360,0.3,0.0,1.29,0.0,3,높음
여름나이키,< 10,< 10,0.0,0.0,0.0,0.0,0,낮음
여성나이키트레이닝,< 10,40,0.0,0.0,0.0,0.0,3,높음
여자나이키신발추천,< 10,40,0.3,0.7,4.77,1.71,3,높음
여자나이키운동화추천,< 10,40,0.0,0.7,0.0,1.52,7,높음
연예인나이키신발,< 10,10,0.0,0.0,0.0,0.0,3,높음
용산아이파크몰나이키,50,720,0.0,0.0,0.0,0.0,2,중간
이천나이키매장,< 10,20,0.0,0.0,0.0,0.0,3,높음
일산나이키매장,< 10,50,0.0,1.3,0.0,2.67,3,중간
커플나이키운동화,< 10,20,0.3,0.3,8.34,1.52,3,높음
평택나이키,40,380,0.0,0.0,0.0,0.0,0,낮음
헬스운동화나이키,< 10,10,0.3,0.0,11.12,0.0,3,중간
ABC나이키,< 10,30,0.3,0.5,16.67,1.31,3,중간
ABC마트나이키운동화,< 10,30,0.5,3.5,10.0,12.95,4,중간
ABC마트나이키정품,< 10,30,0.0,1.4,0.0,5.0,2,중간
NIKE런닝화,< 10,10,0.7,0.0,16.67,0.0,3,높음
김포롯데몰나이키,10,200,0.0,0.0,0.0,0.0,3,높음
끈없는나이키운동화,< 10,50,0.0,0.5,0.0,0.88,7,높음
